,city,country,population,EU,coastline,latitude,longitude,temperature
143,Burgos,Spain,46.06,yes,yes,39.950833333333335,-3.68,10.45
144,Salamanca,Spain,46.06,yes,yes,40.97,-5.67,11.63
145,Cartagena,Spain,46.06,yes,yes,39.950833333333335,-4.036666666666666,17.32
146,Santander,Spain,46.06,yes,yes,43.38,-3.8,13.4
147,Madrid,Spain,46.06,yes,yes,39.950833333333335,-4.036666666666666,
148,Murcia,Spain,46.06,yes,yes,39.950833333333335,-4.036666666666666,15.0
149,Valencia,Spain,46.06,yes,yes,39.49,-4.036666666666666,16.02
150,Zaragoza,Spain,46.06,yes,yes,41.65,-0.89,14.17
151,Vigo,Spain,46.06,yes,yes,39.950833333333335,-4.036666666666666,
152,Abisko,Sweden,9.85,yes,yes,63.35,18.83,
153,G̦teborg,Sweden,9.85,yes,yes,57.75,12.0,5.76
154,Kiruna,Sweden,9.85,yes,yes,67.85,20.22,-2.2
155,Malm̦,Sweden,9.85,yes,yes,55.58,17.357999999999997,
156,Uppsala,Sweden,9.85,yes,yes,59.86,17.64,4.17
157,Stockholm,Sweden,9.85,yes,yes,60.878,18.1,6.26
158,Basel,Switzerland,8.38,no,no,47.58,7.59,6.68
159,Zurich,Switzerland,8.38,no,no,47.38,8.56,6.68
160,Geneva,Switzerland,8.38,no,no,47.480000000000004,6.14,8.4
161,Adana,Turkey,79.62,no,yes,39.169444444444444,35.32,18.67
162,Antalya,Turkey,79.62,no,yes,36.89,30.7,11.88
163,Ankara,Turkey,79.62,no,yes,39.169444444444444,32.86,9.86
164,Batman,Turkey,79.62,no,yes,37.89,41.14,14.16
165,Bursa,Turkey,79.62,no,yes,40.2,29.07,11.16
166,Denizli,Turkey,79.62,no,yes,37.77,29.08,15.02
167,Istanbul,Turkey,79.62,no,yes,39.169444444444444,34.60333333333333,
168,Malatya,Turkey,79.62,no,yes,39.169444444444444,38.3,14.13
169,Edirne,Turkey,79.62,no,yes,41.67,26.57,
170,Sivas,Turkey,79.62,no,yes,39.169444444444444,34.60333333333333,8.05
171,Trabzon,Turkey,79.62,no,yes,39.169444444444444,39.72,
172,Erzincan,Turkey,79.62,no,yes,39.75,34.60333333333333,
173,Erzurum,Turkey,79.62,no,yes,39.92,41.29,5.17
174,Eskisehir,Turkey,79.62,no,yes,39.79,30.53,11.11
175,Gaziantep,Turkey,79.62,no,yes,37.07,37.38,13.46
176,Karaman,Turkey,79.62,no,yes,37.18,33.22,10.41
177,Kayseri,Turkey,79.62,no,yes,38.73,35.49,8.89
178,Manisa,Turkey,79.62,no,yes,38.63,34.60333333333333,15.1
179,Ordu,Turkey,79.62,no,yes,41.0,37.87,11.92
180,Samsun,Turkey,79.62,no,yes,41.28,34.60333333333333,
181,Siirt,Turkey,79.62,no,yes,37.94,41.93,12.48
182,Tarsus,Turkey,79.62,no,yes,36.92,34.88,11.21
183,Tekirdag,Turkey,79.62,no,yes,40.99,27.51,13.02
184,Zonguldak,Turkey,79.62,no,yes,41.43,34.60333333333333,10.64
185,Bila Tserkva,Ukraine,44.62,no,yes,48.70777777777778,30.13,6.98
186,Chernivtsi,Ukraine,44.62,no,yes,48.70777777777778,25.92,7.06
187,Kremenchuk,Ukraine,44.62,no,yes,48.70777777777778,32.241,7.43
188,Lvov,Ukraine,44.62,no,yes,48.70777777777778,32.241,7.04
189,Cherkasy,Ukraine,44.62,no,yes,49.43,32.07,7.19
190,Chernihiv,Ukraine,44.62,no,yes,51.5,31.3,
191,Horlivka,Ukraine,44.62,no,yes,48.3,38.05,7.12
192,Kherson,Ukraine,44.62,no,yes,46.63,32.6,8.64
193,Rivne,Ukraine,44.62,no,yes,48.70777777777778,26.25,6.76
194,Kiev,Ukraine,44.62,no,yes,50.43,32.241,6.88
195,Kryvyy Rih,Ukraine,44.62,no,yes,47.93,33.34,
196,Zhytomyr,Ukraine,44.62,no,yes,48.70777777777778,32.241,6.67
197,Makiyivka,Ukraine,44.62,no,yes,48.03,37.97,8.7
198,Sumy,Ukraine,44.62,no,yes,50.92,34.78,6.28
199,Yevpatoriya,Ukraine,44.62,no,yes,45.2,32.241,
200,Belfast,United Kingdom,65.11,yes,yes,54.6,-5.96,
201,Blackpool,United Kingdom,65.11,yes,yes,53.83,-2.945,
202,Bournemouth,United Kingdom,65.11,yes,yes,50.73,-1.9,
203,Cambridge,United Kingdom,65.11,yes,yes,52.2,0.12,9.25
204,Aberdeen,United Kingdom,65.11,yes,yes,53.553333333333335,-2.08,
205,Birmingham,United Kingdom,65.11,yes,yes,53.553333333333335,-1.92,8.81
206,Bradford,United Kingdom,65.11,yes,yes,53.553333333333335,-1.75,
207,Dundee,United Kingdom,65.11,yes,yes,56.47,-2.945,
208,Edinburgh,United Kingdom,65.11,yes,yes,55.95,-2.945,
209,Exeter,United Kingdom,65.11,yes,yes,50.7,-3.53,10.14
210,Inverness,United Kingdom,65.11,yes,yes,53.553333333333335,-4.23,8.0
211,Glasgow,United Kingdom,65.11,yes,yes,55.87,-4.25,8.6
212,Swansea,United Kingdom,65.11,yes,yes,51.63,-3.95,9.73
